timestamp,red,ir
1766327385.9438195,122919,116643
1766327385.954773,122585,116607
1766327385.9657593,122585,116607
1766327385.9767244,122951,116678
1766327385.9876761,122621,116599
1766327385.9986303,122621,116599
1766327386.009583,122621,116599
1766327386.0205452,122975,116663
1766327386.0315008,122676,116633
1766327386.0424538,122676,116633
1766327386.0534947,122676,116633
1766327386.0653875,122931,116656
1766327386.0764973,122734,116634
1766327386.0875914,122734,116634
1766327386.0987306,122753,116563
1766327386.1098228,122721,116646
1766327386.120953,122721,116646
1766327386.1320424,122721,116646
1766327386.144074,122459,116444
1766327386.1551752,122718,116606
1766327386.1664038,122718,116606
1766327386.177622,122337,116370
1766327386.188711,122813,116664
1766327386.1997883,122813,116664
1766327386.210849,122813,116664
1766327386.221824,122320,116399
1766327386.232782,122872,116683
1766327386.2437384,122872,116683
1766327386.2546945,122358,116428
1766327386.2656565,122932,116729
1766327386.2766104,122932,116729
1766327386.2875752,122932,116729
1766327386.2985313,122375,116418
1766327386.3094857,122988,116712
1766327386.320443,122988,116712
1766327386.3314068,122988,116712
1766327386.3423626,122386,116438
1766327386.3533156,123021,116727
1766327386.364286,123021,116727
1766327386.3752422,122395,116437
1766327386.3861942,123034,116762
1766327386.3973205,123034,116762
1766327386.4084349,123034,116762
1766327386.4194016,122372,116424
1766327386.4303584,123077,116743
1766327386.441316,123077,116743
1766327386.4522705,123077,116445
1766327386.4632232,123068,116724
1766327386.4741936,123068,116724
1766327386.4851475,123068,116724
1766327386.4961007,122419,116449
1766327386.5070539,123073,116733
1766327386.5180082,123073,116733
1766327386.528961,123073,116733
1766327386.5399148,122463,116473
1766327386.5509,122814,116623
1766327386.561855,122814,116623
1766327386.5728354,122518,116492
1766327386.5837927,122549,116494
1766327386.5950446,122549,116494
1766327386.6061163,122549,116494
1766327386.6172268,122561,116507
1766327386.6282604,122488,116491
1766327386.6392205,122488,116491
1766327386.6501768,122488,116491
1766327386.6611314,122641,116560
1766327386.6720855,122465,116486
1766327386.6830413,122465,116486
1766327386.6939948,122666,116545
1766327386.704951,122502,116488
1766327386.715903,122502,116488
1766327386.726863,122502,116488
1766327386.7378137,122700,116557
1766327386.7487674,122571,116531
1766327386.759721,122571,116531
1766327386.7707005,122721,116564
1766327386.7816563,122588,116510
1766327386.79261,122588,116510
1766327386.8035617,122588,116510
1766327386.8145149,122790,116586
1766327386.8254864,122626,116546
1766327386.8364394,122626,116546
1766327386.847392,122626,116546
1766327386.858345,122814,116600
1766327386.8692982,122629,116539
1766327386.8802507,122629,116539
