t,red,ir
1766854699.2975094,241605,225212
1766854699.3075054,241605,225212
1766854699.3175294,241605,225212
1766854699.3275392,241339,224887
1766854699.3378012,241744,225225
1766854699.3475416,241744,225225
1766854699.357531,241744,225225
1766854699.3706765,241400,224901
1766854699.3775227,241843,225324
1766854699.3875492,241843,225324
1766854699.3975317,241843,225324
1766854699.4077067,241532,224945
1766854699.4176154,241826,225063
1766854699.4275763,241826,225063
1766854699.4376097,241826,225063
1766854699.447576,241694,225004
1766854699.4575596,241832,225139
1766854699.4675324,241832,225139
1766854699.477527,241832,225139
1766854699.487527,241794,225027
1766854699.497526,241835,225187
1766854699.5075264,241835,225187
1766854699.5175102,241835,225187
1766854699.5275242,241859,225037
1766854699.5375097,241862,225185
1766854699.5475059,241862,225185
1766854699.5575056,241862,225185
1766854699.567512,241754,225032
1766854699.577506,241893,225193
1766854699.5875065,241893,225193
1766854699.5975065,241893,225193
1766854699.607505,241659,225034
1766854699.6175153,241928,225198
1766854699.6275103,241928,225198
1766854699.637506,241928,225198
1766854699.6475406,241761,225052
1766854699.6575305,241957,225202
1766854699.667508,241957,225202
1766854699.6775103,241957,225202
1766854699.6875086,241897,225134
1766854699.6975083,241961,225210
1766854699.7075217,241961,225210
1766854699.7175102,241961,225210
1766854699.7275054,241961,225140
1766854699.7375073,241975,225196
1766854699.747508,241975,225196
1766854699.7575066,241975,225196
1766854699.7675095,241975,225196
1766854699.777545,241955,225171
1766854699.787555,241955,225171
1766854699.7975318,241955,225171
1766854699.8075306,241734,225087
1766854699.8175213,241734,225087
1766854699.8275247,241734,225087
1766854699.8375285,242083,225081
1766854699.847537,241426,224986
1766854699.8575583,241426,224986
1766854699.8675563,241426,224986
1766854699.877537,242060,225085
1766854699.8913865,241394,224965
1766854699.897544,241394,224965
1766854699.907559,241394,224965
1766854699.9175398,241894,225037
1766854699.9275422,241487,224999
1766854699.9375505,241487,224999
1766854699.9475377,241487,224999
1766854699.957523,241703,224969
1766854699.968419,241570,225031
1766854699.977521,241570,225031
1766854699.987517,241570,225031
1766854699.9975216,241680,224965
1766854700.0075202,241657,225047
1766854700.017517,241657,225047
1766854700.027524,241657,225047
1766854700.0375192,241789,225001
1766854700.0475204,241683,225061
1766854700.057519,241683,225061
1766854700.067517,241683,225061
1766854700.0775297,241864,225009
1766854700.0875285,241717,225073
1766854700.0975652,241717,225073
1766854700.107567,241717,225073
1766854700.11772,241937,225034
1766854700.127573,241749,225081
1766854700.1375675,241749,225081
1766854700.1476033,241749,225081
1766854700.157574,241962,225042
1766854700.167561,241769,225086
1766854700.1775637,241769,225086
1766854700.1875412,241769,225086
1766854700.1976144,241974,225059
1766854700.2075813,241810,225084
1766854700.2175426,241810,225084
1766854700.2275486,241810,225084
1766854700.2375457,241972,225043
1766854700.247588,241853,225105
1766854700.257542,241853,225105
1766854700.2675395,241853,225105
1766854700.2863228,241990,225051
1766854700.287815,241862,225108
1766854700.300724,241862,225108
1766854700.3075225,241862,225108
1766854700.3175237,242020,225047
1766854700.3275232,241886,225100
1766854700.337509,241886,225100
1766854700.3475068,241886,225100
1766854700.3575046,242070,225050
1766854700.367522,241934,225126
1766854700.3775098,241934,225126
1766854700.387545,241934,225126
1766854700.397506,242073,225049
1766854700.4075058,241970,225125
1766854700.4175215,241970,225125
1766854700.4275072,241970,225125
1766854700.437506,242074,225046
1766854700.4475224,241960,225111
1766854700.4575093,241960,225111
1766854700.4675052,241960,225111
1766854700.4775093,242114,225059
1766854700.4875064,241773,225042
1766854700.4975047,241773,225042
1766854700.5075052,241773,225042
1766854700.517504,242147,225066
1766854700.5275056,241443,224923
1766854700.5375054,241443,224923
1766854700.5475044,241443,224923
1766854700.5575113,242083,225055
1766854700.5675056,241339,224887
1766854700.5775075,241339,224887
1766854700.5875056,241339,224887
1766854700.5975254,241880,224974
1766854700.607522,241400,224901
1766854700.6175094,241400,224901
1766854700.627505,241400,224901
1766854700.6375067,241703,224924
1766854700.6475124,241532,224945
1766854700.6575363,241532,224945
1766854700.667521,241532,224945
1766854700.6775262,241715,224912
1766854700.687527,241694,225004
1766854700.697507,241694,225004
1766854700.7076085,241694,225004
1766854700.7175205,241840,224957
1766854700.7275243,241794,225027
1766854700.737505,241794,225027
1766854700.7475042,241794,225027
1766854700.757505,241938,224996
1766854700.76751,241859,225037
1766854700.7775073,241859,225037
1766854700.787524,241859,225037
1766854700.797508,241978,225002
1766854700.8075085,241754,225032
1766854700.8175054,241754,225032
1766854700.8275058,241754,225032
1766854700.8375056,242002,225019
1766854700.847507,241659,225034
1766854700.8575811,241659,225034
1766854700.867508,241659,225034
1766854700.87751,242024,225035
1766854700.88751,241761,225052
1766854700.897506,241761,225052
1766854700.907505,241761,225052
1766854700.917505,242025,225017
1766854700.9275057,241897,225134
1766854700.9375222,241897,225134
1766854700.9475086,241897,225134
1766854700.9575052,242041,225030
1766854700.9675062,241961,225140
1766854700.9775124,241961,225140
1766854700.9875054,241961,225140
1766854700.9975045,242087,225042
1766854701.0075054,241975,225196
1766854701.0175033,241975,225196
1766854701.0275075,241975,225196
1766854701.0375047,242118,225052
1766854701.0475264,242045,224997
1766854701.057508,242045,224997
1766854701.0675042,242045,224997
1766854701.0775054,242149,225059
